0h3m16s,0h3m33s,17,horny:0.03
0h3m37s,0h3m58s,21,sage:0.088
0h5m54s,0h6m48s,54,funny:0.062
0h7m57s,0h8m34s,37,funny:0.095
0h8m40s,0h9m14s,34,monka:0.044
0h12m43s,0h13m2s,19,pog:0.037
0h14m42s,0h15m5s,23,funny:0.06
0h22m7s,0h22m23s,16,funny:0.137
0h26m33s,0h27m3s,30,funny:0.046
0h28m10s,0h28m44s,34,funny:0.088
0h29m23s,0h29m42s,19,funny:0.092
0h33m32s,0h33m56s,24,funny:0.06
0h34m4s,0h34m29s,25,pog:0.045
0h36m33s,0h36m59s,26,pog:0.115
0h38m12s,0h38m59s,47,funny:0.061
0h40m22s,0h41m9s,47,funny:0.039
0h48m48s,0h49m5s,17,funny:0.104
0h49m6s,0h49m27s,21,funny:0.075
0h49m43s,0h50m5s,22,funny:0.2
0h56m43s,0h57m0s,17,dance:0.139
0h59m1s,0h59m24s,23,sage:0.057
1h0m27s,1h1m0s,33,funny:0.061
1h1m8s,1h1m53s,45,chad:0.023
1h4m27s,1h5m12s,45,pog:0.063
1h5m44s,1h6m19s,35,dance:0.176
1h6m43s,1h7m25s,42,dance:0.098
1h10m22s,1h11m3s,41,pog:0.072
1h11m39s,1h11m53s,14,pog:0.135
1h14m47s,1h15m3s,16,horny:0.148
1h17m8s,1h17m36s,28,funny:0.056
1h22m50s,1h23m5s,15,dance:0.413
1h23m2s,1h23m27s,25,dance:0.132
1h23m33s,1h23m52s,19,dance:0.057
1h26m36s,1h26m51s,15,chad:0.041
1h27m57s,1h28m30s,33,funny:0.013
1h28m48s,1h29m11s,23,funny:0.119
1h32m31s,1h32m56s,25,sage:0.039
1h33m3s,1h33m25s,22,funny:0.033
1h34m11s,1h34m55s,44,funny:0.033
1h36m31s,1h36m47s,16,pain:0.036
1h43m19s,1h43m37s,18,funny:0.055 monka:0.108
1h44m57s,1h45m13s,16,pain:0.027
1h49m16s,1h49m50s,34,pain:0.022
1h49m58s,1h51m28s,90,funny:0.022
1h53m44s,1h54m6s,22,monka:0.1
2h4m40s,2h4m55s,15,horny:0.042
2h4m56s,2h5m12s,16,funny:0.076
2h6m20s,2h6m53s,33,dance:0.093
2h10m41s,2h11m17s,36,dance:0.087
2h28m58s,2h29m30s,32,funny:0.115
2h33m50s,2h34m8s,18,funny:0.031 pog:0.187
2h34m29s,2h34m47s,18,wholesome:0.061
2h36m37s,2h36m53s,16,dance:0.211
2h42m48s,2h43m18s,30,pog:0.175
2h44m39s,2h45m2s,23,sage:0.119
2h46m36s,2h47m4s,28,sage:0.034
2h48m7s,2h48m25s,18,dance:0.213
2h48m26s,2h48m45s,19,dance:0.323
2h48m50s,2h49m6s,16,dance:0.052
2h52m12s,2h52m27s,15,pog:0.251
2h55m22s,2h56m0s,38,dance:0.075
2h56m47s,2h57m2s,15,funny:0.244
3h0m7s,3h0m25s,18,horny:0.113
3h0m26s,3h0m48s,22,funny:0.09
3h1m38s,3h2m0s,22,funny:0.033
3h3m1s,3h3m21s,20,chad:0.118
3h4m9s,3h4m25s,16,funny:0.02
3h8m12s,3h9m3s,51,horny:0.022
3h25m0s,3h25m23s,23,funny:0.136
3h25m22s,3h25m57s,35,wholesome:0.02
3h29m18s,3h29m35s,17,funny:0.032
3h38m52s,3h39m25s,33,funny:0.068
3h47m8s,3h47m26s,18,funny:0.102
4h0m18s,4h0m41s,23,horny:0.044
4h3m37s,4h4m36s,59,horny:0.022
4h16m6s,4h16m32s,26,funny:0.03 horny:0.112
4h18m57s,4h19m14s,17,funny:0.08 horny:0.094
4h20m37s,4h20m59s,22,funny:0.042
4h23m47s,4h24m7s,20,funny:0.045
4h24m47s,4h25m4s,17,funny:0.059 monka:0.079
4h25m26s,4h25m48s,22,horny:0.03
4h26m5s,4h26m49s,44,horny:0.059
4h30m42s,4h30m57s,15,funny:0.081 pain:0.04
4h37m53s,4h38m32s,39,sage:0.075
4h56m53s,4h57m16s,23,wholesome:0.04
4h59m7s,4h59m28s,21,funny:0.067
5h1m59s,5h2m19s,20,funny:0.066
5h30m41s,5h31m5s,24,funny:0.12
5h39m39s,5h41m20s,101,wholesome:0.023
